MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.003189,   0.007639,   0.006104,   -17.635532,   453.865112,   0.582331,   0.371144,   57.738537,   249.906738,   186.322845,   -233.596848,   0.314104,   462.934875,   462.178162
-0.004298,   0.009909,   0.008550,   -23.382143,   468.372559,   0.582334,   0.371144,   56.757896,   259.600769,   185.389633,   -243.061401,   0.308706,   480.490509,   479.207947
-0.005457,   0.012313,   0.011126,   -25.328074,   482.127869,   0.582334,   0.371144,   55.777256,   276.081909,   180.717896,   -249.207367,   0.307437,   495.277893,   493.817596
-0.006366,   0.014607,   0.013558,   -17.991749,   497.200226,   0.582333,   0.371144,   54.796619,   297.743408,   181.465057,   -250.949249,   0.315412,   506.435852,   505.716003
-0.006970,   0.016718,   0.015760,   -4.026787,   512.283020,   0.582333,   0.371144,   53.815979,   322.960236,   185.296005,   -248.809357,   0.329411,   514.308228,   514.272766
-0.007260,   0.018521,   0.017628,   0.000000,   526.311096,   0.582333,   0.371144,   52.835342,   347.923859,   192.261154,   -244.111160,   0.346597,   519.513123,   519.096069
-0.007366,   0.020009,   0.019164,   0.000000,   538.080017,   0.582334,   0.371144,   51.854702,   371.073669,   199.249680,   -237.879807,   0.363700,   522.704712,   520.460144
-0.007265,   0.021154,   0.020347,   0.000000,   547.787109,   0.582334,   0.371144,   50.874062,   391.960815,   206.644897,   -230.562164,   0.380627,   524.228394,   518.643250
-0.007048,   0.021975,   0.021198,   0.000000,   555.339355,   0.582331,   0.371144,   49.893421,   410.212189,   213.585464,   -222.705597,   0.396461,   524.471924,   514.275940
-0.006731,   0.022530,   0.021783,   0.000000,   561.239441,   0.582334,   0.371144,   48.912785,   426.381897,   220.290985,   -214.428223,   0.411546,   523.774719,   507.742981
-0.006344,   0.022858,   0.022138,   0.000000,   565.696899,   0.582334,   0.371144,   47.932144,   440.817902,   226.620193,   -205.775528,   0.425951,   522.311768,   499.281952
-0.005901,   0.022989,   0.022298,   0.000000,   568.909607,   0.582333,   0.371144,   46.951504,   453.703857,   232.604141,   -196.835800,   0.439737,   520.241760,   489.088226
-0.005429,   0.022965,   0.022305,   0.000000,   571.077454,   0.582333,   0.371144,   45.970867,   465.240143,   238.238480,   -187.688019,   0.452922,   517.733704,   477.363739
-0.004944,   0.022807,   0.022178,   0.000000,   572.279724,   0.582333,   0.371144,   44.990227,   475.508118,   243.425003,   -178.392227,   0.465452,   514.863586,   464.269379
-0.004458,   0.022541,   0.021943,   0.000000,   572.658875,   0.582334,   0.371144,   44.009590,   484.652344,   248.220673,   -168.975418,   0.477391,   511.721375,   449.875977
-0.003979,   0.022192,   0.021625,   0.000000,   572.330933,   0.582334,   0.371144,   43.028946,   492.822510,   252.632675,   -159.432419,   0.488778,   508.380066,   434.216125
-0.003516,   0.021775,   0.021240,   0.000000,   571.374268,   0.582331,   0.371144,   42.048309,   500.086731,   256.649536,   -149.786346,   0.499602,   504.892609,   417.330902
-0.003076,   0.021309,   0.020803,   0.000000,   569.875122,   0.582334,   0.371144,   41.067673,   506.544189,   260.299957,   -140.020264,   0.509899,   501.304962,   399.161346
-0.002661,   0.020808,   0.020330,   0.000000,   567.910400,   0.582333,   0.371144,   40.087032,   512.276672,   263.602631,   -130.114487,   0.519685,   497.660126,   379.608643
-0.002278,   0.020284,   0.019831,   0.000000,   565.551636,   0.582334,   0.371144,   39.106392,   517.355957,   266.589874,   -120.036087,   0.528983,   493.995392,   358.475983
-0.001926,   0.019750,   0.019318,   0.000000,   562.866760,   0.582333,   0.371144,   38.125751,   521.837219,   269.276703,   -109.753647,   0.537789,   490.349854,   335.497131
-0.001610,   0.019218,   0.018802,   0.000000,   559.917664,   0.582333,   0.371144,   37.145115,   525.757629,   271.686371,   -99.226974,   0.546094,   486.755951,   310.222412
-0.001330,   0.018698,   0.018295,   0.000000,   556.758667,   0.582334,   0.371144,   36.164474,   529.137085,   273.837341,   -88.400970,   0.553884,   483.238708,   281.889282
-0.001086,   0.018204,   0.017812,   0.000000,   553.310669,   0.582333,   0.371144,   35.183834,   531.854797,   275.741486,   -77.171776,   0.561178,   479.702942,   248.783554
-0.000880,   0.017751,   0.017365,   0.000000,   549.756348,   0.582333,   0.371144,   34.203197,   534.013916,   277.392426,   -65.480354,   0.567870,   476.286743,   207.955719
