MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.073813,   0.044096,   0.077135,   -631.632751,   43.114712,   0.582331,   0.371144,   57.738537,   41.201752,   -629.719788,   35.876244,   -0.299841,   654.256470,   -651.048706
-0.082512,   0.049551,   0.086575,   -649.628052,   37.390133,   0.582334,   0.371144,   56.757896,   33.347759,   -645.585693,   52.543728,   -0.305002,   669.107117,   -666.750610
-0.091668,   0.051934,   0.096436,   -693.389954,   0.000000,   0.582334,   0.371144,   55.777256,   -24.709948,   -681.201904,   90.276749,   -0.342402,   687.214539,   -686.957764
-0.099857,   0.050440,   0.105687,   -743.246887,   0.000000,   0.582333,   0.371144,   54.796619,   -112.414803,   -715.100891,   133.249451,   -0.391316,   704.900513,   -693.432312
-0.105685,   0.045936,   0.113165,   -781.358948,   0.000000,   0.582333,   0.371144,   53.815979,   -199.375137,   -731.972046,   169.535721,   -0.432255,   718.208618,   -681.622009
-0.107826,   0.039858,   0.117122,   -802.920715,   0.000000,   0.582333,   0.371144,   52.835342,   -267.712341,   -731.818848,   195.075195,   -0.459620,   724.896362,   -660.802124
-0.104851,   0.033425,   0.115255,   -807.966248,   0.000000,   0.582334,   0.371144,   51.854702,   -306.913696,   -721.807434,   207.774109,   -0.474079,   723.311584,   -640.677917
-0.095554,   0.027608,   0.105458,   -792.550415,   0.000000,   0.582334,   0.371144,   50.874062,   -287.328979,   -715.105164,   197.805450,   -0.469814,   711.227051,   -635.747070
-0.080869,   0.023326,   0.088957,   -721.252319,   0.000000,   0.582331,   0.371144,   49.893421,   -104.828644,   -705.786316,   97.640129,   -0.396787,   680.982727,   -667.600159
-0.065811,   0.021871,   0.073979,   -506.168091,   211.691452,   0.582334,   0.371144,   48.912785,   201.718201,   -496.194824,   -84.023376,   -0.153642,   638.882507,   -551.266663
-0.055594,   0.024274,   0.064603,   -395.740448,   313.040436,   0.582334,   0.371144,   47.932144,   298.960968,   -381.660980,   -98.899040,   -0.044808,   615.213440,   -360.032257
-0.050305,   0.029012,   0.058941,   -373.954865,   321.542542,   0.582333,   0.371144,   46.951504,   310.610718,   -363.023041,   -86.507507,   -0.028978,   602.888245,   -305.469391
-0.048329,   0.035108,   0.056396,   -352.459045,   336.104431,   0.582333,   0.371144,   45.970867,   325.656372,   -342.010986,   -84.172394,   -0.009141,   596.369568,   -205.850174
-0.048532,   0.041385,   0.056231,   -342.752441,   344.381622,   0.582333,   0.371144,   44.990227,   334.352997,   -332.723816,   -82.404129,   0.000913,   595.076111,   95.294815
-0.049976,   0.047125,   0.057883,   -337.460388,   352.404449,   0.582334,   0.371144,   44.009590,   342.417664,   -327.473602,   -82.400276,   0.008337,   597.487244,   200.005676
-0.051968,   0.052011,   0.060726,   -335.035004,   360.131165,   0.582334,   0.371144,   43.028946,   349.992371,   -324.896210,   -83.338799,   0.013892,   602.162292,   238.941376
-0.054075,   0.056083,   0.063970,   -333.825134,   367.344666,   0.582331,   0.371144,   42.048309,   356.952148,   -323.432617,   -84.728500,   0.018393,   607.462158,   264.643982
-0.056096,   0.059485,   0.067049,   -333.122284,   373.583893,   0.582334,   0.371144,   41.067673,   362.923462,   -322.461853,   -86.140282,   0.022025,   612.359802,   283.251068
-0.057924,   0.062292,   0.069753,   -332.636017,   378.783051,   0.582333,   0.371144,   40.087032,   367.882996,   -321.735962,   -87.382492,   0.024950,   616.538879,   297.245026
-0.059483,   0.064552,   0.072008,   -332.156708,   383.063934,   0.582334,   0.371144,   39.106392,   371.979462,   -321.072235,   -88.345764,   0.027373,   619.922058,   308.216309
-0.060730,   0.066315,   0.073792,   -331.582947,   386.537262,   0.582333,   0.371144,   38.125751,   375.342316,   -320.388000,   -88.960587,   0.029426,   622.517029,   317.021301
-0.061643,   0.067623,   0.075112,   -330.843903,   389.314880,   0.582333,   0.371144,   37.145115,   378.093140,   -319.622162,   -89.193604,   0.031216,   624.360596,   324.247742
-0.062220,   0.068511,   0.075980,   -329.874878,   391.506622,   0.582334,   0.371144,   36.164474,   380.343872,   -318.712128,   -89.039238,   0.032844,   625.494202,   330.352966
-0.062465,   0.069004,   0.076415,   -328.634033,   393.195312,   0.582333,   0.371144,   35.183834,   382.177307,   -317.616028,   -88.497055,   0.034380,   625.955444,   335.636597
-0.062387,   0.069123,   0.076433,   -327.119629,   394.418457,   0.582333,   0.371144,   34.203197,   383.633240,   -316.334412,   -87.553566,   0.035848,   625.775635,   340.214508
-0.061997,   0.068885,   0.076051,   -325.360748,   395.176849,   0.582334,   0.371144,   33.222557,   384.717163,   -314.901062,   -86.181114,   0.037236,   624.979492,   344.077332
-0.061306,   0.068307,   0.075284,   -323.396088,   395.453613,   0.582333,   0.371144,   32.241917,   385.416992,   -313.359467,   -84.345024,   0.038518,   623.583801,   347.169098
-0.060323,   0.067401,   0.074146,   -321.247406,   395.238495,   0.582333,   0.371144,   31.261278,   385.723816,   -311.732727,   -82.015846,   0.039678,   621.596924,   349.470642
-0.059056,   0.066179,   0.072649,   -318.888885,   394.554016,   0.582333,   0.371144,   30.280640,   385.654419,   -309.989288,   -79.184319,   0.040745,   619.016907,   351.081421
-0.057511,   0.064651,   0.070804,   -316.164825,   393.527985,   0.582333,   0.371144,   29.300001,   385.313690,   -307.950531,   -75.908890,   0.041875,   615.828064,   352.439514
-0.055687,   0.062829,   0.068617,   -312.048279,   393.042389,   0.582333,   0.371144,   28.319361,   385.454315,   -304.460205,   -72.750977,   0.044117,   611.967834,   356.303009
-0.053530,   0.060753,   0.066098,   -299.310333,   399.332031,   0.582333,   0.371144,   27.338722,   391.430817,   -291.409119,   -73.876198,   0.054917,   607.105408,   379.829498
-0.050864,   0.058605,   0.063331,   -254.576355,   431.537415,   0.582333,   0.371144,   26.358082,   418.896729,   -241.935669,   -92.266823,   0.098190,   600.743591,   453.106354
-0.047614,   0.056872,   0.060808,   -164.294052,   496.035461,   0.582333,   0.371144,   25.377443,   468.632782,   -136.891388,   -131.696182,   0.185715,   595.432129,   540.804260
-0.044100,   0.056119,   0.059341,   -70.170212,   556.330078,   0.582333,   0.371144,   24.396805,   509.301147,   -23.141287,   -165.081543,   0.272574,   594.529053,   585.103882
-0.040726,   0.056524,   0.059184,   -10.867218,   590.177368,   0.582333,   0.371144,   23.416164,   531.403564,   47.906563,   -178.525360,   0.324170,   595.685303,   595.462158
-0.037731,   0.057926,   0.060057,   0.000000,   606.518494,   0.582333,   0.371144,   22.435526,   543.761719,   81.253555,   -181.559753,   0.348692,   597.484863,   596.840149
-0.035205,   0.060062,   0.061606,   0.000000,   615.287476,   0.582333,   0.371144,   21.454885,   551.975708,   95.370705,   -181.429977,   0.359696,   599.900757,   597.968811
-0.033158,   0.062673,   0.063564,   0.000000,   620.805847,   0.582333,   0.371144,   20.474247,   558.220642,   100.415871,   -180.468048,   0.364221,   602.781494,   600.101807
-0.031559,   0.065535,   0.065763,   0.000000,   624.722168,   0.582333,   0.371144,   19.493608,   563.363647,   100.878906,   -179.282547,   0.365413,   605.929321,   603.019409
-0.030364,   0.068462,   0.068112,   0.000000,   627.788208,   0.582334,   0.371144,   18.512968,   567.839172,   98.955109,   -178.053482,   0.364834,   609.222412,   606.403381
-0.029525,   0.071292,   0.070578,   0.000000,   630.432495,   0.582333,   0.371144,   17.532330,   571.916199,   95.847466,   -176.866989,   0.363337,   612.620544,   610.053589
-0.028976,   0.073894,   0.073151,   0.000000,   632.879272,   0.582333,   0.371144,   16.551691,   575.739014,   92.159470,   -175.775040,   0.361349,   616.116516,   613.871399
-0.028645,   0.076204,   0.075722,   0.000000,   635.066101,   0.582333,   0.371144,   15.571051,   579.207031,   88.176086,   -174.782104,   0.359074,   619.540100,   617.639404
-0.028528,   0.078200,   0.078063,   0.000000,   636.781006,   0.582333,   0.371144,   14.590412,   582.068909,   84.132156,   -173.886658,   0.356681,   622.592529,   621.025696
-0.028623,   0.079763,   0.079872,   0.000000,   637.722107,   0.582333,   0.371144,   13.609773,   584.049927,   80.225395,   -172.979919,   0.354355,   624.868774,   623.597473
-0.028908,   0.080661,   0.080830,   0.000000,   637.383911,   0.582333,   0.371144,   12.629134,   584.754578,   76.182243,   -171.859436,   0.351970,   625.939880,   624.941711
-0.029312,   0.080663,   0.080696,   0.000000,   635.141602,   0.582333,   0.371144,   11.648495,   583.776428,   71.206444,   -170.195877,   0.349069,   625.457031,   624.748352
-0.029730,   0.079603,   0.079345,   0.000000,   630.391174,   0.582333,   0.371144,   10.667855,   580.813904,   64.296875,   -167.527374,   0.345074,   623.161804,   622.770447
-0.030036,   0.077402,   0.076758,   0.000000,   622.688660,   0.582333,   0.371144,   9.687216,   575.698181,   54.656059,   -163.377243,   0.339507,   618.891479,   618.784607
-0.030100,   0.074066,   0.073007,   -1.506955,   611.819092,   0.582333,   0.371144,   8.706576,   568.365906,   41.946236,   -157.361984,   0.332103,   612.573975,   612.569824
-0.029800,   0.069673,   0.068229,   -12.617066,   597.806641,   0.582333,   0.371144,   7.725937,   558.817139,   26.372444,   -149.264664,   0.322838,   604.213989,   603.917542
-0.029023,   0.064347,   0.062594,   -25.114323,   580.896606,   0.582333,   0.371144,   6.745298,   547.122681,   8.659586,   -139.020432,   0.311964,   593.852173,   592.655640
-0.027669,   0.058253,   0.056287,   -37.995281,   561.599365,   0.582333,   0.371144,   5.764659,   533.510742,   -9.906655,   -126.699722,   0.300131,   581.528748,   578.726196
-0.025652,   0.051590,   0.049506,   -49.673466,   540.784973,   0.582333,   0.371144,   4.784020,   518.501587,   -27.390079,   -112.520508,   0.288589,   567.255249,   562.330750
-0.022932,   0.044589,   0.042451,   -57.932289,   519.736633,   0.582333,   0.371144,   3.803381,   502.991058,   -41.186699,   -96.917458,   0.279378,   550.991699,   544.076538
-0.019556,   0.037496,   0.035326,   -59.996704,   500.107056,   0.582333,   0.371144,   2.822742,   488.247986,   -48.137619,   -80.632996,   0.275424,   532.645752,   524.963013
-0.015722,   0.030560,   0.028358,   -52.487747,   483.866455,   0.582333,   0.371144,   1.842103,   475.894501,   -44.515800,   -64.901733,   0.280773,   512.131592,   506.027252
-0.011811,   0.023954,   0.021742,   -33.723225,   471.640625,   0.582333,   0.371144,   0.861463,   466.368622,   -28.451229,   -51.346676,   0.298284,   489.374481,   486.749969
-0.085845,   0.048778,   0.089927,   -660.491211,   25.570522,   0.567391,   1.113431,   57.008831,   24.958284,   -659.878967,   20.485556,   -0.314174,   673.640564,   -672.547424
-0.096077,   0.053749,   0.101091,   -685.688293,   10.700472,   0.567391,   1.113431,   56.053352,   2.213645,   -677.201477,   76.407494,   -0.325562,   691.100647,   -690.914185
-0.106719,   0.055613,   0.113062,   -728.485718,   0.000000,   0.567391,   1.113431,   55.097878,   -63.091793,   -699.228027,   139.527374,   -0.356805,   712.171692,   -710.360046
-0.115922,   0.054129,   0.124098,   -769.642639,   0.000000,   0.567391,   1.113431,   54.142399,   -141.787994,   -712.915100,   188.723740,   -0.389830,   730.834412,   -719.571472
-0.121543,   0.050257,   0.131631,   -797.565735,   0.000000,   0.567391,   1.113431,   53.186924,   -208.041534,   -715.758545,   219.607162,   -0.414703,   742.540222,   -717.801575
-0.121526,   0.045028,   0.132835,   -809.335205,   0.000000,   0.567391,   1.113431,   52.231445,   -249.391968,   -711.414978,   234.157562,   -0.429755,   745.235352,   -709.349976
-0.114455,   0.039262,   0.125590,   -802.476807,   0.000000,   0.567391,   1.113431,   51.275970,   -250.301056,   -707.375916,   229.155884,   -0.433005,   737.232422,   -699.045166
-0.100776,   0.033900,   0.110310,   -759.652039,   0.000000,   0.567392,   1.113431,   50.320492,   -148.183578,   -714.459778,   166.233749,   -0.402868,   713.751282,   -696.739319
-0.084273,   0.030268,   0.093253,   -619.890015,   96.967346,   0.567390,   1.113431,   49.365013,   95.411301,   -618.333984,   -33.362236,   -0.258759,   673.628540,   -657.651611
-0.071141,   0.030516,   0.082223,   -473.933411,   270.901001,   0.567392,   1.113431,   48.409538,   240.286911,   -443.319305,   -147.868896,   -0.103643,   652.984863,   -500.893768
-0.063615,   0.034106,   0.075103,   -441.325470,   292.000793,   0.567391,   1.113431,   47.454060,   263.906891,   -413.231567,   -140.757675,   -0.077840,   639.452881,   -448.013367
-0.059844,   0.039273,   0.070327,   -413.398956,   310.440277,   0.567391,   1.113431,   46.498585,   285.559357,   -388.518036,   -131.873886,   -0.054564,   628.973450,   -392.681885
-0.058675,   0.045147,   0.068075,   -393.084045,   324.994263,   0.567391,   1.113431,   45.543106,   303.128418,   -371.218201,   -123.382591,   -0.036443,   622.805237,   -340.445801
-0.058972,   0.050814,   0.067814,   -378.170227,   337.708130,   0.567391,   1.113431,   44.587631,   318.318451,   -358.780548,   -116.209648,   -0.021743,   620.298828,   -285.698730
-0.060003,   0.055809,   0.069064,   -367.813416,   348.812073,   0.567391,   1.113431,   43.632153,   331.327911,   -350.329254,   -110.561790,   -0.010204,   620.688599,   -222.243759
-0.061253,   0.059909,   0.071179,   -360.441925,   358.672028,   0.567392,   1.113431,   42.676678,   342.582489,   -344.352386,   -106.354767,   -0.000947,   622.771545,   -100.979210
-0.062532,   0.063257,   0.073509,   -354.696014,   367.370758,   0.567390,   1.113431,   41.721199,   352.306213,   -339.631470,   -103.202072,   0.006756,   625.360291,   195.168961
-0.063769,   0.066025,   0.075708,   -349.901733,   374.920654,   0.567391,   1.113431,   40.765724,   360.656555,   -335.637634,   -100.675056,   0.013283,   627.839233,   245.438461
