MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.002607,   0.006285,   0.004689,   -16.454844,   448.549805,   0.582331,   0.371144,   57.738537,   184.561111,   247.533859,   230.360458,   0.315168,   456.999481,   456.332214
-0.003938,   0.008865,   0.007521,   -25.738073,   467.067200,   0.582334,   0.371144,   56.757896,   177.642410,   263.686707,   242.617706,   0.306189,   480.453552,   478.898804
-0.005411,   0.011698,   0.010651,   -30.221802,   485.783295,   0.582334,   0.371144,   55.777256,   171.653687,   283.907806,   251.823486,   0.302752,   501.577545,   499.522858
-0.006728,   0.014594,   0.013846,   -24.568758,   506.533173,   0.582333,   0.371144,   54.796619,   170.447311,   311.517090,   256.011993,   0.309396,   519.253662,   517.943481
-0.007711,   0.017341,   0.016867,   -10.683944,   527.839478,   0.582333,   0.371144,   53.815979,   174.365646,   342.789917,   255.754166,   0.323266,   533.261780,   533.020874
-0.008376,   0.019780,   0.019553,   0.000000,   547.199280,   0.582333,   0.371144,   52.835342,   180.038727,   373.557678,   252.496231,   0.339195,   544.028931,   543.944275
-0.008717,   0.021812,   0.021802,   0.000000,   563.967224,   0.582334,   0.371144,   51.854702,   186.890030,   401.937317,   247.179657,   0.355600,   551.957214,   550.695496
-0.008820,   0.023413,   0.023593,   0.000000,   577.869202,   0.582334,   0.371144,   50.874062,   193.969193,   426.981537,   240.677750,   0.371219,   557.578125,   553.814941
-0.008733,   0.024685,   0.025041,   0.000000,   589.584412,   0.582331,   0.371144,   49.893421,   200.996262,   449.403961,   233.393372,   0.386005,   561.651428,   554.171143
-0.008471,   0.025666,   0.026189,   0.000000,   599.598328,   0.582334,   0.371144,   48.912785,   207.994385,   470.054535,   225.232880,   0.400400,   564.476562,   552.011719
-0.008093,   0.026331,   0.027003,   0.000000,   607.690491,   0.582334,   0.371144,   47.932144,   214.594894,   488.393219,   216.553070,   0.413944,   566.090027,   547.605591
-0.007619,   0.026742,   0.027555,   0.000000,   614.253479,   0.582333,   0.371144,   46.951504,   220.888077,   504.803955,   207.493713,   0.426769,   566.810669,   541.334290
-0.007079,   0.026946,   0.027892,   0.000000,   619.521667,   0.582333,   0.371144,   45.970867,   226.825317,   519.572815,   198.115005,   0.438927,   566.835083,   533.464722
-0.006496,   0.026972,   0.028045,   0.000000,   623.650085,   0.582333,   0.371144,   44.990227,   232.401199,   532.861755,   188.469742,   0.450459,   566.283325,   524.176941
-0.005894,   0.026855,   0.028047,   0.000000,   626.783081,   0.582334,   0.371144,   44.009590,   237.583481,   544.788757,   178.639755,   0.461346,   565.282593,   513.696716
-0.005288,   0.026628,   0.027933,   0.000000,   629.079407,   0.582334,   0.371144,   43.028946,   242.382812,   555.533936,   168.640991,   0.471627,   563.945740,   502.180725
-0.004692,   0.026312,   0.027725,   0.000000,   630.649292,   0.582331,   0.371144,   42.048309,   246.825928,   565.214172,   158.478760,   0.481345,   562.340759,   489.724091
-0.004115,   0.025929,   0.027441,   0.000000,   631.579773,   0.582334,   0.371144,   41.067673,   250.905701,   573.920410,   148.153412,   0.490509,   560.523621,   476.431519
-0.003567,   0.025494,   0.027097,   0.000000,   631.956055,   0.582333,   0.371144,   40.087032,   254.638062,   581.718262,   137.679459,   0.499125,   558.548096,   462.407654
-0.003056,   0.025026,   0.026708,   0.000000,   631.860779,   0.582334,   0.371144,   39.106392,   258.032806,   588.701660,   127.020042,   0.507214,   556.460693,   447.721832
-0.002586,   0.024538,   0.026288,   0.000000,   631.369019,   0.582333,   0.371144,   38.125751,   261.142700,   594.927917,   116.152725,   0.514806,   554.299561,   432.408264
-0.002161,   0.024042,   0.025849,   0.000000,   630.506409,   0.582333,   0.371144,   37.145115,   263.970245,   600.408936,   105.032394,   0.521906,   552.065674,   416.502930
-0.001783,   0.023552,   0.025403,   0.000000,   629.274597,   0.582334,   0.371144,   36.164474,   266.529175,   605.125916,   93.593925,   0.528528,   549.737122,   400.002838
-0.001454,   0.023081,   0.024965,   0.000000,   627.615173,   0.582333,   0.371144,   35.183834,   268.792755,   609.007019,   81.712997,   0.534681,   547.241699,   382.881958
