MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.051347,   0.022962,   0.054081,   -623.229187,   28.145613,   0.582331,   0.371144,   57.738537,   -339.248718,   -255.834885,   323.005920,   -0.311024,   637.768005,   -636.368408
-0.060963,   0.027574,   0.064656,   -642.177185,   30.223265,   0.582334,   0.371144,   56.757896,   -353.598206,   -258.355743,   332.810486,   -0.310097,   657.809814,   -656.244873
-0.070653,   0.031332,   0.075126,   -664.066467,   17.480667,   0.582334,   0.371144,   55.777256,   -383.418182,   -263.167633,   335.427460,   -0.320261,   672.977112,   -672.466003
-0.079269,   0.033280,   0.084205,   -687.422546,   0.000000,   0.582333,   0.371144,   54.796619,   -426.209564,   -272.599243,   329.176605,   -0.341649,   681.800720,   -681.586731
-0.085802,   0.033128,   0.090921,   -708.856201,   0.000000,   0.582333,   0.371144,   53.815979,   -476.120697,   -285.406860,   313.929413,   -0.371091,   684.043091,   -679.458191
-0.089813,   0.031267,   0.094961,   -725.564880,   0.000000,   0.582333,   0.371144,   52.835342,   -526.754333,   -299.784851,   290.945953,   -0.404739,   680.717834,   -663.554749
-0.091237,   0.028243,   0.096359,   -735.945312,   0.000000,   0.582334,   0.371144,   51.854702,   -572.728333,   -314.132385,   262.387177,   -0.439065,   673.294495,   -633.541077
-0.090182,   0.024689,   0.095240,   -739.265198,   0.000000,   0.582334,   0.371144,   50.874062,   -609.904175,   -326.100372,   231.187012,   -0.470479,   663.156738,   -591.958374
-0.086805,   0.021032,   0.091713,   -735.914062,   0.000000,   0.582331,   0.371144,   49.893421,   -636.020874,   -334.078613,   200.351227,   -0.496564,   651.208069,   -543.573730
-0.081031,   0.017543,   0.085597,   -725.947021,   0.000000,   0.582334,   0.371144,   48.912785,   -649.626587,   -334.638306,   172.814484,   -0.514778,   637.339844,   -497.250183
-0.072313,   0.014366,   0.076178,   -710.081055,   0.000000,   0.582334,   0.371144,   47.932144,   -647.692749,   -331.867340,   153.610306,   -0.525905,   620.872070,   -458.587128
-0.059866,   0.011791,   0.062450,   -682.837585,   0.000000,   0.582333,   0.371144,   46.951504,   -595.589600,   -296.853760,   183.511078,   -0.491001,   605.867188,   -514.250061
-0.045070,   0.010017,   0.046957,   -587.044250,   80.363556,   0.582333,   0.371144,   45.970867,   -247.288467,   -259.392212,   333.649017,   -0.267628,   631.075439,   -619.406494
-0.034876,   0.010640,   0.038757,   -427.513031,   279.628174,   0.582333,   0.371144,   44.990227,   18.455877,   -166.340714,   341.283936,   -0.079914,   616.850037,   -435.837158
-0.030338,   0.013117,   0.033504,   -463.959869,   217.518372,   0.582334,   0.371144,   44.009590,   -123.529755,   -122.911736,   340.738983,   -0.136253,   602.903625,   -502.502045
-0.028639,   0.017147,   0.031872,   -404.008728,   285.359253,   0.582334,   0.371144,   43.028946,   -24.424202,   -94.225258,   342.912537,   -0.065922,   599.950500,   -398.378815
-0.029325,   0.021521,   0.032843,   -407.303589,   285.585175,   0.582331,   0.371144,   42.048309,   -49.563511,   -72.154892,   346.260193,   -0.067270,   603.137634,   -403.132751
-0.031098,   0.025413,   0.035578,   -390.919983,   313.816956,   0.582334,   0.371144,   41.067673,   -17.086098,   -60.016949,   351.714050,   -0.042027,   611.536438,   -350.402130
-0.032842,   0.028458,   0.038446,   -390.486359,   324.068604,   0.582333,   0.371144,   40.087032,   -15.734347,   -50.683434,   356.849884,   -0.035725,   619.713196,   -336.535095
-0.034562,   0.031529,   0.041443,   -381.401581,   343.021484,   0.582334,   0.371144,   39.106392,   4.288865,   -42.668938,   361.449768,   -0.020383,   627.662231,   -282.945282
-0.036420,   0.034317,   0.044446,   -378.116547,   355.299683,   0.582333,   0.371144,   38.125751,   12.426430,   -35.243290,   365.932709,   -0.011972,   635.259583,   -239.894867
-0.038178,   0.036575,   0.047078,   -376.184326,   364.586884,   0.582333,   0.371144,   37.145115,   20.434258,   -32.031693,   369.455444,   -0.006026,   641.552917,   -192.733353
-0.039588,   0.038541,   0.049296,   -374.170990,   372.589447,   0.582334,   0.371144,   36.164474,   24.946901,   -26.528427,   372.492096,   -0.000815,   646.713989,   -99.738663
-0.040610,   0.040032,   0.050952,   -371.429016,   379.584381,   0.582333,   0.371144,   35.183834,   30.542219,   -22.386875,   374.572968,   0.004180,   650.409485,   172.966263
-0.041343,   0.041161,   0.052183,   -369.118011,   384.996490,   0.582333,   0.371144,   34.203197,   33.723595,   -17.845114,   376.174622,   0.008104,   653.130615,   216.573288
-0.041652,   0.041838,   0.052837,   -365.258453,   390.359802,   0.582334,   0.371144,   33.222557,   38.547722,   -13.446353,   376.913635,   0.012784,   654.504944,   252.619690
-0.041705,   0.042234,   0.053137,   -362.474457,   393.847717,   0.582333,   0.371144,   32.241917,   39.797050,   -8.423790,   377.391693,   0.015962,   655.182007,   272.279083
-0.041262,   0.042127,   0.052777,   -355.373871,   399.676147,   0.582333,   0.371144,   31.261278,   47.376057,   -3.073771,   376.681335,   0.022571,   654.267578,   305.108734
-0.040709,   0.041858,   0.052236,   -353.834137,   399.981354,   0.582333,   0.371144,   30.280640,   43.389416,   2.757807,   376.359833,   0.023548,   653.231018,   308.945923
-0.039489,   0.041021,   0.050887,   -338.594818,   410.594513,   0.582333,   0.371144,   29.300001,   61.596096,   10.403592,   373.719147,   0.036933,   649.815002,   356.785187
-0.038372,   0.040176,   0.049593,   -342.223694,   404.452148,   0.582333,   0.371144,   28.319361,   43.982601,   18.245853,   373.116089,   0.032041,   647.388367,   339.122650
-0.036316,   0.038593,   0.047214,   -309.715271,   426.951599,   0.582333,   0.371144,   27.338722,   86.568062,   30.668268,   367.271454,   0.060998,   640.659546,   414.805359
-0.034561,   0.037259,   0.045195,   -315.304565,   417.579010,   0.582333,   0.371144,   26.358082,   59.232738,   43.041702,   366.352356,   0.053540,   636.752563,   395.078094
-0.031967,   0.035071,   0.042064,   -284.582794,   435.510529,   0.582333,   0.371144,   25.377443,   86.747108,   64.180634,   359.869812,   0.080089,   628.168457,   444.144958
-0.027991,   0.033243,   0.038967,   -89.979614,   545.991638,   0.582333,   0.371144,   24.396805,   336.951447,   119.060570,   298.740265,   0.254999,   596.096741,   580.522583
-0.024453,   0.033616,   0.038648,   0.000000,   591.904724,   0.582333,   0.371144,   23.416164,   445.219177,   177.892776,   246.433701,   0.360013,   576.934448,   575.030884
-0.021646,   0.035596,   0.039894,   0.000000,   608.105286,   0.582333,   0.371144,   22.435526,   465.767090,   208.933243,   238.364044,   0.389307,   577.693787,   568.961914
-0.019638,   0.038859,   0.042327,   0.000000,   618.882263,   0.582333,   0.371144,   21.454885,   472.104828,   224.332199,   240.647171,   0.397523,   583.980103,   572.222046
-0.018512,   0.043107,   0.045655,   0.000000,   627.927246,   0.582333,   0.371144,   20.474247,   475.528107,   231.078369,   245.925644,   0.397516,   592.518555,   580.591492
-0.018231,   0.048093,   0.049933,   0.000000,   637.715454,   0.582333,   0.371144,   19.493608,   478.751648,   236.046585,   252.687164,   0.395212,   602.881287,   591.642334
-0.018444,   0.052802,   0.054429,   0.000000,   646.442444,   0.582334,   0.371144,   18.512968,   480.278839,   238.844177,   260.246033,   0.390823,   613.340454,   603.538025
-0.018730,   0.056842,   0.058589,   0.000000,   653.697754,   0.582333,   0.371144,   17.532330,   480.636353,   240.712646,   267.342041,   0.386181,   622.634705,   614.284424
