MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.000207,   0.000067,   0.000000,   -43.166912,   1.128830,   0.582331,   0.371144,   57.738537,   -0.042390,   -41.995693,   7.106920,   -0.320347,   43.742252,   -43.709461
-0.000326,   0.000092,   0.000000,   -68.854553,   0.000000,   0.582334,   0.371144,   56.757896,   -9.139883,   -60.958530,   21.714243,   -0.342406,   68.241119,   -68.215614
-0.000415,   0.000102,   0.000000,   -88.795021,   0.000000,   0.582334,   0.371144,   55.777256,   -29.615654,   -64.324257,   38.054752,   -0.362684,   86.337616,   -85.991714
-0.000429,   0.000137,   0.000000,   -89.575722,   1.987277,   0.582333,   0.371144,   54.796619,   -51.046440,   -36.542007,   45.203442,   -0.322304,   90.585709,   -90.536644
-0.000398,   0.000293,   0.000000,   -71.643562,   39.943352,   0.582333,   0.371144,   53.815979,   -60.022915,   28.322704,   34.083321,   -0.107903,   97.928322,   -76.063507
-0.000384,   0.000663,   0.000000,   -42.612957,   126.433517,   0.582333,   0.371144,   52.835342,   -42.603065,   126.423622,   1.293118,   0.183480,   152.279373,   137.878143
-0.000380,   0.001202,   0.000000,   -4.436072,   251.190552,   0.582334,   0.371144,   51.854702,   5.997564,   240.756912,   -50.579189,   0.324543,   253.437714,   253.350372
-0.000361,   0.001853,   0.000000,   0.000000,   402.660828,   0.582334,   0.371144,   50.874062,   82.781357,   364.892365,   -109.915237,   0.390489,   382.147858,   376.114288
-0.000338,   0.002608,   0.000715,   0.000000,   447.375702,   0.582331,   0.371144,   49.893421,   161.112915,   387.027283,   -131.436325,   0.449511,   406.471313,   376.801971
-0.000300,   0.003469,   0.001691,   0.000000,   468.706055,   0.582334,   0.371144,   48.912785,   210.728256,   395.335876,   -137.578629,   0.484070,   417.339233,   360.962738
-0.000279,   0.004510,   0.002909,   0.000000,   486.439819,   0.582334,   0.371144,   47.932144,   246.728470,   401.748230,   -142.483444,   0.503843,   429.020325,   349.487885
-0.000266,   0.005777,   0.004408,   0.000000,   503.319824,   0.582333,   0.371144,   46.951504,   277.104584,   406.657593,   -147.873154,   0.516046,   441.667389,   342.656219
-0.000265,   0.007288,   0.006205,   0.000000,   519.901184,   0.582333,   0.371144,   45.970867,   304.267609,   410.360260,   -153.690292,   0.523597,   454.947357,   340.246918
-0.000279,   0.009036,   0.008287,   0.000000,   536.097961,   0.582333,   0.371144,   44.990227,   328.960114,   413.141083,   -159.590164,   0.528108,   468.402008,   341.661865
-0.000313,   0.010993,   0.010613,   0.000000,   551.648132,   0.582334,   0.371144,   44.009590,   351.506744,   415.239044,   -165.230438,   0.530710,   481.585358,   345.816986
-0.000372,   0.013129,   0.013143,   0.000000,   566.374512,   0.582334,   0.371144,   43.028946,   372.190643,   416.738525,   -170.460831,   0.532095,   494.228058,   351.797424
-0.000460,   0.015413,   0.015835,   0.000000,   580.170532,   0.582331,   0.371144,   42.048309,   391.306824,   417.617401,   -175.215271,   0.532707,   506.171875,   358.871277
-0.000580,   0.017815,   0.018652,   0.000000,   592.997986,   0.582334,   0.371144,   41.067673,   409.000366,   417.872162,   -179.506943,   0.532756,   517.355591,   366.683807
-0.000735,   0.020318,   0.021568,   0.000000,   604.896118,   0.582333,   0.371144,   40.087032,   425.475616,   417.492584,   -183.368561,   0.532383,   527.796082,   374.994812
-0.000926,   0.022896,   0.024552,   0.000000,   615.885498,   0.582334,   0.371144,   39.106392,   440.833710,   416.470612,   -186.836624,   0.531657,   537.505005,   383.678528
-0.001153,   0.025525,   0.027575,   0.000000,   625.985107,   0.582333,   0.371144,   38.125751,   455.145386,   414.793243,   -189.947281,   0.530615,   546.497437,   392.660522
-0.001417,   0.028185,   0.030613,   0.000000,   635.242859,   0.582333,   0.371144,   37.145115,   468.490967,   412.471710,   -192.736923,   0.529283,   554.815308,   401.889954
-0.001716,   0.030863,   0.033650,   0.000000,   643.716431,   0.582334,   0.371144,   36.164474,   480.963257,   409.516083,   -195.235397,   0.527682,   562.509949,   411.323303
-0.002051,   0.033537,   0.036661,   0.000000,   651.422363,   0.582333,   0.371144,   35.183834,   492.601471,   405.918549,   -197.461700,   0.525820,   569.599304,   420.915405
-0.002421,   0.036193,   0.039629,   0.000000,   658.402588,   0.582333,   0.371144,   34.203197,   503.459686,   401.682861,   -199.441467,   0.523695,   576.125305,   430.651276
-0.002826,   0.038820,   0.042541,   0.000000,   664.689941,   0.582334,   0.371144,   33.222557,   513.600037,   396.807739,   -201.182220,   0.521317,   582.120056,   440.481628
-0.003265,   0.041399,   0.045377,   0.000000,   670.296082,   0.582333,   0.371144,   32.241917,   523.046021,   391.282227,   -202.693848,   0.518679,   587.600830,   450.376892
-0.003738,   0.043920,   0.048123,   0.000000,   675.243958,   0.582333,   0.371144,   31.261278,   531.830933,   385.105804,   -203.984299,   0.515775,   592.594482,   460.306488
-0.004246,   0.046371,   0.050767,   0.000000,   679.549866,   0.582333,   0.371144,   30.280640,   539.986694,   378.277679,   -205.052444,   0.512606,   597.121643,   470.224640
-0.004789,   0.048739,   0.053290,   0.000000,   683.216797,   0.582333,   0.371144,   29.300001,   547.521729,   370.796783,   -205.897705,   0.509165,   601.192627,   480.087219
-0.005367,   0.051011,   0.055680,   0.000000,   686.251404,   0.582333,   0.371144,   28.319361,   554.446838,   362.668243,   -206.518112,   0.505447,   604.821045,   489.848419
-0.005982,   0.053174,   0.057920,   0.000000,   688.655762,   0.582333,   0.371144,   27.338722,   560.767761,   353.902863,   -206.907883,   0.501451,   608.015625,   499.453125
-0.006635,   0.055214,   0.059993,   0.000000,   690.423767,   0.582333,   0.371144,   26.358082,   566.478271,   344.514557,   -207.060120,   0.497176,   610.777832,   508.840332
-0.007326,   0.057115,   0.061879,   0.000000,   691.547058,   0.582333,   0.371144,   25.377443,   571.567383,   334.523926,   -206.967468,   0.492623,   613.106140,   517.944702
-0.008055,   0.058859,   0.063559,   0.000000,   692.016052,   0.582333,   0.371144,   24.396805,   576.019897,   323.958496,   -206.623459,   0.487796,   614.996948,   526.699158
-0.008824,   0.060429,   0.065011,   0.000000,   691.817444,   0.582333,   0.371144,   23.416164,   579.819275,   312.846527,   -206.019501,   0.482698,   616.442200,   535.033875
-0.009631,   0.061803,   0.066213,   0.000000,   690.932129,   0.582333,   0.371144,   22.435526,   582.943481,   301.215027,   -205.146378,   0.477334,   617.428040,   542.878357
-0.010474,   0.062961,   0.067142,   0.000000,   689.338745,   0.582333,   0.371144,   21.454885,   585.369995,   289.088501,   -203.993912,   0.471708,   617.937683,   550.164795
-0.011349,   0.063879,   0.067774,   0.000000,   687.011047,   0.582333,   0.371144,   20.474247,   587.075378,   276.482910,   -202.549728,   0.465818,   617.950745,   556.829224
