MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.000125,   0.000353,   0.000000,   -4.412687,   72.713264,   0.582331,   0.371144,   57.738537,   24.888340,   43.412235,   37.434200,   0.303489,   75.017006,   74.724167
-0.000177,   0.000434,   0.000000,   -10.784614,   87.960846,   0.582334,   0.371144,   56.757896,   25.897091,   51.279144,   47.713776,   0.274202,   93.819199,   92.409225
-0.000244,   0.000508,   0.000000,   -21.049801,   100.462502,   0.582334,   0.371144,   55.777256,   29.271778,   50.140923,   59.853401,   0.235350,   112.474548,   107.908562
-0.000331,   0.000637,   0.000000,   -32.211784,   124.049019,   0.582333,   0.371144,   54.796619,   35.298100,   56.539135,   77.405197,   0.214216,   142.904160,   134.366745
-0.000419,   0.000835,   0.000000,   -38.826096,   163.632355,   0.582333,   0.371144,   53.815979,   44.593071,   80.213188,   99.650177,   0.223537,   186.108078,   176.647812
-0.000489,   0.001099,   0.000000,   -36.709667,   219.774948,   0.582333,   0.371144,   52.835342,   57.461617,   125.603668,   123.633553,   0.254001,   240.242584,   233.807495
-0.000529,   0.001416,   0.000000,   -24.030453,   290.162628,   0.582334,   0.371144,   51.854702,   74.268829,   191.863358,   145.678436,   0.292877,   302.893646,   300.737762
-0.000538,   0.001773,   0.000000,   -1.336700,   371.903320,   0.582334,   0.371144,   50.874062,   96.149948,   274.416687,   163.958145,   0.331538,   372.573486,   372.568085
-0.000534,   0.002152,   0.000232,   0.000000,   418.212799,   0.582331,   0.371144,   49.893421,   114.818825,   334.476959,   159.389313,   0.371101,   403.570068,   400.863708
-0.000509,   0.002534,   0.000630,   0.000000,   435.448303,   0.582334,   0.371144,   48.912785,   132.473831,   368.060883,   142.886902,   0.410111,   406.828827,   394.859802
-0.000469,   0.002924,   0.001053,   0.000000,   449.597809,   0.582334,   0.371144,   47.932144,   149.581436,   394.762756,   128.263062,   0.442008,   410.508575,   384.736755
-0.000427,   0.003344,   0.001524,   0.000000,   461.597290,   0.582333,   0.371144,   46.951504,   164.826523,   417.032806,   115.001892,   0.467632,   414.755798,   372.392609
-0.000385,   0.003831,   0.002083,   0.000000,   472.844849,   0.582333,   0.371144,   45.970867,   179.174698,   437.838440,   101.391991,   0.489974,   419.758850,   357.326447
-0.000343,   0.004419,   0.002770,   0.000000,   483.920288,   0.582333,   0.371144,   44.990227,   192.793564,   457.745789,   87.293190,   0.509262,   425.805634,   339.901215
-0.000306,   0.005138,   0.003618,   0.000000,   495.123779,   0.582334,   0.371144,   44.009590,   205.263535,   476.831512,   72.816223,   0.525032,   433.049530,   321.394562
-0.000276,   0.006006,   0.004651,   0.000000,   506.641815,   0.582334,   0.371144,   43.028946,   216.247192,   494.936859,   58.301418,   0.536985,   441.467743,   303.860138
-0.000257,   0.007048,   0.005899,   0.000000,   518.750854,   0.582331,   0.371144,   42.048309,   226.000061,   512.082703,   44.182705,   0.545476,   451.032501,   289.174713
-0.000258,   0.008276,   0.007371,   0.000000,   531.419495,   0.582334,   0.371144,   41.067673,   234.418243,   528.331177,   30.285995,   0.550914,   461.505127,   279.372925
-0.000277,   0.009671,   0.009047,   0.000000,   544.364075,   0.582333,   0.371144,   40.087032,   241.855240,   543.416687,   16.929014,   0.554020,   472.469330,   275.108185
-0.000327,   0.011225,   0.010910,   0.000000,   557.368286,   0.582334,   0.371144,   39.106392,   248.265549,   557.320374,   3.848222,   0.555206,   483.655640,   277.057953
-0.000398,   0.012928,   0.012952,   0.000000,   570.321594,   0.582333,   0.371144,   38.125751,   254.227219,   570.071899,   -8.884464,   0.555200,   494.896423,   283.523315
-0.000515,   0.014787,   0.015172,   0.000000,   583.145203,   0.582333,   0.371144,   37.145115,   259.457214,   581.723511,   -21.451807,   0.553994,   506.130890,   294.808838
-0.000658,   0.016774,   0.017543,   0.000000,   595.655029,   0.582334,   0.371144,   36.164474,   264.198486,   592.171692,   -33.979145,   0.551942,   517.185730,   309.252899
-0.000850,   0.018862,   0.020023,   0.000000,   607.632385,   0.582333,   0.371144,   35.183834,   268.192810,   601.314636,   -46.308586,   0.549042,   527.893799,   326.383209
-0.001083,   0.021080,   0.022650,   0.000000,   619.286804,   0.582333,   0.371144,   34.203197,   271.758575,   609.401733,   -58.611729,   0.545501,   538.441284,   345.135925
-0.001353,   0.023365,   0.025349,   0.000000,   630.282288,   0.582334,   0.371144,   33.222557,   274.638519,   616.196777,   -70.777344,   0.541314,   548.563293,   365.006226
-0.001682,   0.025726,   0.028121,   0.000000,   640.673462,   0.582333,   0.371144,   32.241917,   276.892761,   621.823792,   -82.807861,   0.536555,   558.325439,   385.499420
-0.002051,   0.028166,   0.030980,   0.000000,   650.542542,   0.582333,   0.371144,   31.261278,   278.662506,   626.388855,   -94.774849,   0.531308,   567.812927,   406.208374
-0.002467,   0.030622,   0.033843,   0.000000,   659.626221,   0.582333,   0.371144,   30.280640,   279.756958,   629.710083,   -106.603096,   0.525560,   576.823730,   426.864929
-0.002947,   0.033116,   0.036731,   0.000000,   668.040161,   0.582333,   0.371144,   29.300001,   280.272034,   631.935547,   -118.322479,   0.519354,   585.475647,   447.305481
-0.003471,   0.035641,   0.039646,   0.000000,   675.830017,   0.582333,   0.371144,   28.319361,   280.315735,   633.146484,   -129.930588,   0.512765,   593.815063,   467.309326
-0.004061,   0.038164,   0.042536,   0.000000,   682.869324,   0.582333,   0.371144,   27.338722,   279.777466,   633.262756,   -141.407196,   0.505763,   601.757812,   486.801788
-0.004709,   0.040693,   0.045417,   0.000000,   689.246399,   0.582333,   0.371144,   26.358082,   278.804230,   632.383667,   -152.770660,   0.498422,   609.381897,   505.651184
-0.005418,   0.043190,   0.048240,   0.000000,   694.874023,   0.582333,   0.371144,   25.377443,   277.393219,   630.503845,   -163.930801,   0.490802,   616.607239,   523.663086
-0.006188,   0.045636,   0.050981,   0.000000,   699.745300,   0.582333,   0.371144,   24.396805,   275.556519,   627.689514,   -174.829193,   0.482949,   623.423889,   540.750732
-0.007023,   0.048022,   0.053631,   0.000000,   703.905945,   0.582333,   0.371144,   23.416164,   273.415771,   624.061279,   -185.397812,   0.474977,   629.839294,   556.772583
-0.007925,   0.050336,   0.056173,   0.000000,   707.394043,   0.582333,   0.371144,   22.435526,   271.028778,   619.781067,   -195.528152,   0.466994,   635.846252,   571.628296
-0.008886,   0.052555,   0.058584,   0.000000,   710.261963,   0.582333,   0.371144,   21.454885,   268.509918,   615.046265,   -205.089600,   0.459167,   641.419250,   585.177368
-0.009906,   0.054653,   0.060832,   0.000000,   712.546143,   0.582333,   0.371144,   20.474247,   265.932159,   610.046448,   -213.957428,   0.451643,   646.512878,   597.325867
-0.010979,   0.056610,   0.062897,   0.000000,   714.322021,   0.582333,   0.371144,   19.493608,   263.387268,   605.006165,   -222.023239,   0.444574,   651.104736,   608.027100
-0.012098,   0.058400,   0.064749,   0.000000,   715.634033,   0.582334,   0.371144,   18.512968,   260.914368,   600.071655,   -229.234528,   0.438051,   655.164368,   617.303467
-0.013253,   0.059994,   0.066361,   0.000000,   716.480286,   0.582333,   0.371144,   17.532330,   258.486053,   595.242432,   -235.640060,   0.432047,   658.669434,   625.270935
-0.014434,   0.061359,   0.067698,   0.000000,   716.786316,   0.582333,   0.371144,   16.551691,   255.997238,   590.311829,   -241.408478,   0.426393,   661.603088,   632.126892
-0.015626,   0.062456,   0.068721,   0.000000,   716.403015,   0.582333,   0.371144,   15.571051,   253.286987,   584.884033,   -246.796585,   0.420802,   663.947083,   638.095459
-0.016803,   0.063231,   0.069377,   0.000000,   715.136353,   0.582333,   0.371144,   14.590412,   250.211426,   578.481323,   -252.060196,   0.414971,   665.662659,   643.327637
-0.017952,   0.063639,   0.069618,   0.000000,   712.768494,   0.582333,   0.371144,   13.609773,   246.581146,   570.630249,   -257.416107,   0.408579,   666.711060,   647.921692
-0.019041,   0.063638,   0.069408,   0.000000,   709.146179,   0.582333,   0.371144,   12.629134,   242.357849,   560.993896,   -262.974823,   0.401444,   667.051331,   651.833008
-0.020030,   0.063169,   0.068687,   0.000000,   704.083130,   0.582333,   0.371144,   11.648495,   237.522354,   549.286377,   -268.741699,   0.393455,   666.581482,   654.883240
-0.020878,   0.062169,   0.067392,   0.000000,   697.410828,   0.582333,   0.371144,   10.667855,   232.112091,   535.324097,   -274.624725,   0.384582,   665.168335,   656.798889
-0.021519,   0.060578,   0.065464,   0.000000,   688.967651,   0.582333,   0.371144,   9.687216,   226.247330,   518.927002,   -280.501831,   0.374843,   662.654541,   657.259460
-0.021894,   0.058319,   0.062820,   0.000000,   678.432556,   0.582333,   0.371144,   8.706576,   219.882111,   499.732239,   -286.257080,   0.364099,   658.807739,   655.902405
-0.021924,   0.055297,   0.059362,   0.000000,   665.514771,   0.582333,   0.371144,   7.725937,   213.268127,   477.433960,   -291.648590,   0.352425,   653.285339,   652.191528
-0.021507,   0.051444,   0.055011,   0.000000,   649.918701,   0.582333,   0.371144,   6.745298,   206.633377,   451.864105,   -296.301697,   0.339955,   645.672058,   645.543823
-0.020555,   0.046745,   0.049751,   -8.159532,   631.393616,   0.582333,   0.371144,   5.764659,   200.306839,   422.927246,   -299.778412,   0.326893,   635.512695,   635.394836
-0.019004,   0.041269,   0.043645,   -23.518187,   610.175354,   0.582333,   0.371144,   4.784020,   195.035126,   391.622040,   -301.214661,   0.314258,   622.267883,   621.266724
-0.016652,   0.035087,   0.036749,   -34.710918,   586.926025,   0.582333,   0.371144,   3.803381,   192.894333,   359.320801,   -299.472351,   0.304236,   605.028748,   602.782410
-0.013619,   0.028490,   0.029363,   -39.087475,   562.607849,   0.582333,   0.371144,   2.822742,   194.175262,   329.345093,   -293.157959,   0.299256,   583.134888,   580.176514
-0.010231,   0.021965,   0.022038,   -33.418991,   539.069519,   0.582333,   0.371144,   1.842103,   200.710983,   304.939575,   -281.460266,   0.302858,   556.532104,   554.267822
