MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.039305,   0.048451,   0.057814,   -20.123667,   639.991028,   0.582333,   0.371144,   24.396805,   147.539047,   472.328308,   -287.342712,   0.317741,   650.286438,   649.585327
-0.035526,   0.049141,   0.057986,   0.000000,   667.786621,   0.582333,   0.371144,   23.416164,   187.983871,   522.361816,   -264.149994,   0.365654,   647.556824,   644.398926
-0.032538,   0.051435,   0.059839,   0.000000,   679.444519,   0.582333,   0.371144,   22.435526,   206.464340,   535.292542,   -261.114960,   0.380078,   650.530457,   643.764771
-0.030263,   0.055102,   0.062970,   0.000000,   688.148010,   0.582333,   0.371144,   21.454885,   216.406860,   540.613892,   -263.814178,   0.384415,   656.427063,   648.223511
-0.028717,   0.059524,   0.066817,   0.000000,   695.654419,   0.582333,   0.371144,   20.474247,   221.728851,   543.440430,   -268.585358,   0.384333,   663.633240,   655.366943
-0.027794,   0.064442,   0.071155,   0.000000,   702.366028,   0.582333,   0.371144,   19.493608,   224.455002,   544.519592,   -274.657135,   0.381695,   671.543823,   664.050903
-0.027887,   0.069534,   0.075945,   0.000000,   708.303162,   0.582334,   0.371144,   18.512968,   225.089096,   543.870483,   -281.879761,   0.376937,   680.006958,   673.880310
-0.028241,   0.074031,   0.080605,   0.000000,   713.216431,   0.582333,   0.371144,   17.532330,   225.509445,   541.312683,   -289.549042,   0.371532,   687.981689,   683.259338
-0.028481,   0.077489,   0.084470,   0.000000,   716.309509,   0.582333,   0.371144,   16.551691,   225.122818,   537.143555,   -296.654572,   0.365873,   694.472473,   691.038818
-0.028803,   0.080778,   0.088349,   0.000000,   719.656250,   0.582333,   0.371144,   15.571051,   224.812531,   534.516357,   -302.680206,   0.361243,   700.662781,   698.129089
-0.029395,   0.084204,   0.092393,   0.000000,   723.782593,   0.582333,   0.371144,   14.590412,   224.884689,   534.322449,   -307.443085,   0.358081,   706.736450,   704.734802
-0.030298,   0.087271,   0.095932,   0.000000,   727.369019,   0.582333,   0.371144,   13.609773,   224.741928,   534.753845,   -311.148865,   0.355644,   711.849548,   710.215698
-0.031367,   0.089580,   0.098521,   0.000000,   729.514893,   0.582333,   0.371144,   12.629134,   224.110764,   534.187195,   -314.196442,   0.353243,   715.557617,   714.253357
-0.032424,   0.090856,   0.099883,   0.000000,   729.681213,   0.582333,   0.371144,   11.648495,   222.991852,   531.415405,   -316.952972,   0.350412,   717.637756,   716.678467
-0.033379,   0.090961,   0.099886,   0.000000,   727.544678,   0.582333,   0.371144,   10.667855,   221.216019,   525.810425,   -319.599487,   0.346808,   718.002075,   717.407104
-0.034078,   0.089813,   0.098470,   0.000000,   722.997131,   0.582333,   0.371144,   9.687216,   218.899582,   517.118835,   -322.153290,   0.342378,   716.575195,   716.308960
-0.034437,   0.087345,   0.095579,   0.000000,   715.803711,   0.582333,   0.371144,   8.706576,   215.975555,   505.010803,   -324.592438,   0.336960,   713.226562,   713.184204
-0.034291,   0.083501,   0.091177,   -3.968466,   705.767029,   0.582333,   0.371144,   7.725937,   212.669434,   489.129120,   -326.838837,   0.330526,   707.759583,   707.734558
-0.033530,   0.078202,   0.085180,   -14.484687,   692.444580,   0.582333,   0.371144,   6.745298,   209.039658,   468.920227,   -328.713806,   0.322931,   699.799377,   699.461914
